Location,Locname,Postcode,HB2019,HB2019Name
A017A,Jobcentre Plus,KA8 OBX,NA,NA
A017B,Victoria Villa GP Surgery,KA15 2DG,S08000015,NHS Ayrshire and Arran
A017G,Kilgour Optometrists - Ayr,KA7 1UL,S08000015,NHS Ayrshire and Arran
A017T,Irvine Criminal Justice,KA12 0LP,S08000015,NHS Ayrshire and Arran
A018A,Condition Management Programme,KA7 2AA,S08000015,NHS Ayrshire and Arran
A018B,GP Surgery,KA16 9HQ,S08000015,NHS Ayrshire and Arran
A018G,Kilgour Optometrists - Troon,KA10 6BQ,S08000015,NHS Ayrshire and Arran
A018T,Girvan Ambulance Station,KA26 9HF,S08000015,NHS Ayrshire and Arran
A019A,Ayrshire Doctors on Call (ADOC),KA2 0BB,S08000015,NHS Ayrshire and Arran
A019B,GP Surgery,KA18 4BA,S08000015,NHS Ayrshire and Arran
A019G,AA CAMHS,,NA,NA
A019T,Largs Ambulance Station,KA30 9LW,S08000015,NHS Ayrshire and Arran
A020A,Holmston House,KA7 3BA,S08000015,NHS Ayrshire and Arran
A020B,South Beach Surgery,KA22 8EA,S08000015,NHS Ayrshire and Arran
A020G,Appointments Booking Centre - Ayr,,NA,NA
A020T,Saltcoats Police Office,KA21 5JT,S08000015,NHS Ayrshire and Arran
A021A,Cunninghame House,KA12 8EE,S08000015,NHS Ayrshire and Arran
A021B,The Surgery,KA23 9AR,S08000015,NHS Ayrshire and Arran
A021G,Appointments Booking Centre - Xhouse,,NA,NA
A022A,Civic Centre,KA1 1HW,S08000015,NHS Ayrshire and Arran
A022B,The Surgery,KA26 0NB,S08000015,NHS Ayrshire and Arran
A022G,LTC Notification,,NA,NA
A023A,Look Ahead Project,KA22 8BQ,S08000015,NHS Ayrshire and Arran
A023B,The Surgery,KA26 0QP,S08000015,NHS Ayrshire and Arran
A023G,Discharge Planning,,NA,NA
A024A,Municipal Buildings Troon,KA10 6EF,S08000015,NHS Ayrshire and Arran
A024B,The Surgery,KA26 9SH,S08000015,NHS Ayrshire and Arran
A024G,Learning Disability Service,,NA,NA
A025A,County Buildings,KA7 1DR,S08000015,NHS Ayrshire and Arran
A025B,GP Surgery,KA26 9TP,S08000015,NHS Ayrshire and Arran
A025G,Addiction Service,,NA,NA
A026A,Doctor's Residence,KA3 5QT,S08000015,NHS Ayrshire and Arran
A026B,GP Surgery,KA27 8HQ,S08000015,NHS Ayrshire and Arran
A026G,Community Nursing LTC,,NA,NA
A027A,Social Work Office,KA9 1NX,S08000015,NHS Ayrshire and Arran
A027B,GP Surgery,KA27 8JB,S08000015,NHS Ayrshire and Arran
A027G,Health Protection Scotland - Ayrshire & Arran,,NA,NA
A028A,Scottish Health Council Aryshire & Arran,KA2 0BB,S08000015,NHS Ayrshire and Arran
A028B,GP Surgery,KA27 8JU,S08000015,NHS Ayrshire and Arran
A028G,Orthopaedics Triage and Treat Services,,NA,NA
A029A,SALUS,KA7 2DW,S08000015,NHS Ayrshire and Arran
A029B,The Medical Centre,KA27 8NS,S08000015,NHS Ayrshire and Arran
A029G,Scottish Ambulance Service - A&A,,NA,NA
A030A,Bridgegate House,KA12 8BD,S08000015,NHS Ayrshire and Arran
A030B,GP Surgery,KA27 8PQ,S08000015,NHS Ayrshire and Arran
A030G,Musculoskeletal Triage and Treatment,,NA,NA
A031A,Perceton House,KA11 2AL,S08000015,NHS Ayrshire and Arran
A031B,GP Surgery,KA28 0DT,S08000015,NHS Ayrshire and Arran
A031G,AA Cervical Screening Service,,NA,NA
A032A,Rothesay House,KA18 1LH,S08000015,NHS Ayrshire and Arran
A032B,Fairlie Cottage GP Surgery,KA29 0AA,S08000015,NHS Ayrshire and Arran
A032G,Smoking Cessation Service (Fresh Air-shire),,NA,NA
A033A,Prestwick Airport,KA9 2PL,S08000015,NHS Ayrshire and Arran
A033B,GP Surgery,KA3 4AA,S08000015,NHS Ayrshire and Arran
A033G,Cancer Triage,,NA,NA
A034A,The Opera House East Ayrshire Council,KA1 1DD,S08000015,NHS Ayrshire and Arran
A034B,GP Surgery,KA3 7AE,S08000015,NHS Ayrshire and Arran
A034G,Dietetics,,NA,NA
A035A,East Ayrshire Council HQ,KA3 7BU,S08000015,NHS Ayrshire and Arran
A035B,GP Surgery,KA30 8AU,S08000015,NHS Ayrshire and Arran
A035G,Dental Referral Service,,NA,NA
A036B,GP Surgery,KA30 9HP,S08000015,NHS Ayrshire and Arran
A036G,Health & Wellbeing,,NA,NA
A037B,The Surgery,KA4 8HW,S08000015,NHS Ayrshire and Arran
A037G,Intermediate Care & Enablement Service (ICES),,NA,NA
A038B,The Clinic,KA5 6RU,S08000015,NHS Ayrshire and Arran
A038G,AHP - East,,NA,NA
A039B,Surgery,KA6 5DB,S08000015,NHS Ayrshire and Arran
A039G,AHP - North,,NA,NA
A040B,GP Surgery,KA6 6DZ,S08000015,NHS Ayrshire and Arran
A040G,AHP - South,,NA,NA
A041B,GP Surgery,KA3 6DY,S08000015,NHS Ayrshire and Arran
A041G,Ayrshare,,NA,NA
A042B,The Surgery,KA6 7AY,S08000015,NHS Ayrshire and Arran
A042G,Intermediate Care & Rehab Community Services,,NA,NA
A043B,GP Surgery,KA6 7HB,S08000015,NHS Ayrshire and Arran
A043G,Named Person,,NA,NA
A044B,GP Surgery,KA7 1UB,S08000015,NHS Ayrshire and Arran
A044G,Childsmile Services,KA6 6DX,S08000015,NHS Ayrshire and Arran
A045B,Dalblair Medical Practice,KA7 1UQ,S08000015,NHS Ayrshire and Arran
A046B,The Barns Medical Practice,KA7 1UL,S08000015,NHS Ayrshire and Arran
A047B,GP Surgery,KA7 2AA,S08000015,NHS Ayrshire and Arran
A048B,Cornhill Surgery,KA7 3YF,S08000015,NHS Ayrshire and Arran
A049B,GP Surgery,KA7 4LB,S08000015,NHS Ayrshire and Arran
A050B,GP Surgery,KA7 4PY,S08000015,NHS Ayrshire and Arran
A051B,Tam's Brig GP Surgery,KA8 8DD,S08000015,NHS Ayrshire and Arran
A052B,The Surgery,KA9 1AQ,S08000015,NHS Ayrshire and Arran
A053B,Kirkhall Surgery,KA9 1AW,S08000015,NHS Ayrshire and Arran
A054B,The Surgery,PA17 5AP,S08000015,NHS Ayrshire and Arran
A055B,Gp-Surgery,KA20 3NY,S08000015,NHS Ayrshire and Arran
A056B,GP Surgery,KA2 9HF,S08000015,NHS Ayrshire and Arran
A100C,Ayrshire Clinics North Dis,,NA,NA
A100L,PAM visits to Schools,,NA,NA
A100N,Domiciliary Births,,NA,NA
A101A,North Ayrshire and Arran District,KA3 1HA,S08000015,NHS Ayrshire and Arran
A101B,Beith Health Centre,KA15 2AE,S08000015,NHS Ayrshire and Arran
A101C,Ardrossan Clinic,KA22 7DX,S08000015,NHS Ayrshire and Arran
A101H,Arran War Memorial Hospital,KA27 8LF,S08000015,NHS Ayrshire and Arran
A101L,Kilmarnock Academy,KA1 3BS,S08000015,NHS Ayrshire and Arran
A101P,Geilsland School,KA15 1HD,S08000015,NHS Ayrshire and Arran
A101Q,Ravenspark Academy,KA12 8SH,S08000015,NHS Ayrshire and Arran
A101R,Barbadoes House,KA1 1RX,S08000015,NHS Ayrshire and Arran
A101S,Bellsford House Childrens Home,KA1 3JS,S08000015,NHS Ayrshire and Arran
A101V,Caldwell House Nursing Home,G78 4BG,S08000031,NHS Greater Glasgow and Clyde
A102B,Dalry Health Centre,KA24 4AF,S08000015,NHS Ayrshire and Arran
A102C,Beith Clinic,KA15 1DT,S08000015,NHS Ayrshire and Arran
A102H,Dunlop House Hospital,KA3 4BD,S08000015,NHS Ayrshire and Arran
A102L,Kilmarnock Academy,KA3 7HL,S08000015,NHS Ayrshire and Arran
A102P,Kerelaw Approved School,KA20 4JY,S08000015,NHS Ayrshire and Arran
A102Q,Irvine Royal Academy,KA12 8SJ,S08000015,NHS Ayrshire and Arran
A102R,Birkenward Eventide Home,PA17 5DX,S08000015,NHS Ayrshire and Arran
A102S,Burnside House Childrens Home,KA12 8RU,S08000015,NHS Ayrshire and Arran
A102V,Craigdhu Nursing Home,PA17 5DR,S08000015,NHS Ayrshire and Arran
A103B,Bourtreehill Health Centre,KA11 1JU,S08000015,NHS Ayrshire and Arran
A103C,Crosshouse Clinic,KA2 0HN,S08000015,NHS Ayrshire and Arran
A103H,Ayrshire Central Hospital,KA12 8SS,S08000015,NHS Ayrshire and Arran
A103L,Grange Academy,KA1 2EW,S08000015,NHS Ayrshire and Arran
A103P,HM Prison Bowhouse,KA1 5AA,S08000015,NHS Ayrshire and Arran
A103Q,Greenwood Academy,KA11 4HL,S08000015,NHS Ayrshire and Arran
A103R,Dunselma Eventide Home,KA3 6DR,S08000015,NHS Ayrshire and Arran
A103S,Childrens Home Barrholm,,NA,NA
A103V,Cubrieshaw Hall Nursing Home,KA23 9DT,S08000015,NHS Ayrshire and Arran
A104B,Stewarton Health Centre,KA3 5BP,S08000015,NHS Ayrshire and Arran
A104C,Dalry Clinic,KA24 5ET,S08000015,NHS Ayrshire and Arran
A104H,Ravenspark Hospital,KA12 8SW,S08000015,NHS Ayrshire and Arran
A104L,Loudoun Academy,KA4 8PB,S08000015,NHS Ayrshire and Arran
A104Q,Kilwinning Academy,KA13 7HD,S08000015,NHS Ayrshire and Arran
A104R,Haylie House Old Person Home,KA30 8EX,S08000015,NHS Ayrshire and Arran
A104S,Clark Childrens Home,KA30 9JD,S08000015,NHS Ayrshire and Arran
A104V,East Park Home for Infirm Children,KA30 8EJ,S08000015,NHS Ayrshire and Arran
A105B,Townhead Surgery,KA12 0AY,S08000015,NHS Ayrshire and Arran
A105C,Darvel Clinic,KA17 0JR,S08000015,NHS Ayrshire and Arran
A105H,Kirklandside Hospital,KA1 5LH,S08000015,NHS Ayrshire and Arran
A105L,Stewarton Academy,KA3 5QF,S08000015,NHS Ayrshire and Arran
A105R,Irvine Road Red Cross House,KA30 8HA,S08000015,NHS Ayrshire and Arran
A105S,Nazareth House Children's Home,KA3 1HG,S08000015,NHS Ayrshire and Arran
A105V,Hollywood Convalescent Home,KA30 8RT,S08000015,NHS Ayrshire and Arran
A106B,Stevenston Health Centre,KA20 3AB,S08000015,NHS Ayrshire and Arran
A106C,Dreghorn Clinic,KA11 4AF,S08000015,NHS Ayrshire and Arran
A106H,Kilmarnock Infirmary,KA3 1DJ,S08000015,NHS Ayrshire and Arran
A106R,Mount House Eventide Home,KA2 0AA,S08000015,NHS Ayrshire and Arran
A106S,Childrens Home Parkend,KA21 5HX,S08000015,NHS Ayrshire and Arran
A106V,Rosemount Nursing Home,KA30 8JB,S08000015,NHS Ayrshire and Arran
A107B,Saltcoats Health Centre,KA21 5LX,S08000015,NHS Ayrshire and Arran
A107C,Fairlie Clinic,KA29 0AB,S08000015,NHS Ayrshire and Arran
A107H,Kilmarnock Maternity Hospital,KA1 1TR,S08000015,NHS Ayrshire and Arran
A107L,St Joseph's Academy (Kilmarnock Campus),KA3 7SL,S08000015,NHS Ayrshire and Arran
A107R,Nazareth House Residential Home,KA3 1HG,S08000015,NHS Ayrshire and Arran
A107S,Childrens Home Tankerha,KA3 7BS,S08000015,NHS Ayrshire and Arran
A107V,Craig War Memorial Convalescent Home,KA30 9DE,S08000015,NHS Ayrshire and Arran
A108B,Ardrossan Health Centre,KA22 7DX,S08000015,NHS Ayrshire and Arran
A108C,Fenwick Clinic,KA3 6DY,S08000015,NHS Ayrshire and Arran
A108H,Torrance House,KA1 5LQ,S08000015,NHS Ayrshire and Arran
A108R,South Beach House,KA22 8DU,S08000015,NHS Ayrshire and Arran
A108S,Hazeldene Nursery,KA13 7QH,S08000015,NHS Ayrshire and Arran
A108V,Silverdale Nursing Home,KA3 7AQ,S08000015,NHS Ayrshire and Arran
A109B,Kilbirnie Health Centre,KA25 6HS,S08000015,NHS Ayrshire and Arran
A109C,Galston Clinic,KA4 8HW,S08000015,NHS Ayrshire and Arran
A109H,Buckreddan Maternity Hospital,KA13 7PF,S08000015,NHS Ayrshire and Arran
A109L,Shortlees Primary School,KA1 4QY,S08000015,NHS Ayrshire and Arran
A109Q,St Michael's Academy,KA13 6LJ,S08000015,NHS Ayrshire and Arran
A109R,Springhill House Eventide Home,KA1 2EJ,S08000015,NHS Ayrshire and Arran
A109S,Redheugh,KA25 7JX,S08000015,NHS Ayrshire and Arran
A109V,Grange Nursing Home,KA1 2JR,S08000015,NHS Ayrshire and Arran
A110B,Cumbrae Medical Practice,KA28 0DE,S08000015,NHS Ayrshire and Arran
A110C,Hurlford Clinic,KA1 5BT,S08000015,NHS Ayrshire and Arran
A110H,Lady Margaret Hospital,KA28 0HF,S08000015,NHS Ayrshire and Arran
A110L,Onthank Primary School,KA3 2ES,S08000015,NHS Ayrshire and Arran
A110R,Rosemount Nursing Home,KA11 1AF,S08000015,NHS Ayrshire and Arran
A110S,Seafield Residential School,KA22 8NL,S08000015,NHS Ayrshire and Arran
A110V,Ayrshire Masonic House,KA3 2RR,S08000015,NHS Ayrshire and Arran
A111B,Loudoun Medical Centre,KA17 0HD,S08000015,NHS Ayrshire and Arran
A111C,Bank Street Clinic,KA12 0PT,S08000015,NHS Ayrshire and Arran
A111H,University Hospital Crosshouse,KA2 0BE,S08000015,NHS Ayrshire and Arran
A111L,Whatriggs Primary School,KA1 3ST,S08000015,NHS Ayrshire and Arran
A111R,Arnhall Old Persons Home,KA27 8PX,S08000015,NHS Ayrshire and Arran
A111S,Chasely Miners Home,PA17 5EH,S08000015,NHS Ayrshire and Arran
A111V,Douglas House Residential Home,KA30 8PT,S08000015,NHS Ayrshire and Arran
A112B,Whiting Bay Surgery,KA27 8QN,S08000015,NHS Ayrshire and Arran
A112C,Frew Terrace Clinic,KA12 9DY,S08000015,NHS Ayrshire and Arran
A112H,Brooksby Day Hospital,KA30 8NE,S08000015,NHS Ayrshire and Arran
A112L,Bentinck Primary School,,NA,NA
A112Q,Annick Lodge Primary School,,NA,NA
A112R,Lainshaw House Welfare Home,KA3 3BA,S08000015,NHS Ayrshire and Arran
A112S,Kerrmuir Hostel,KA1 5ES,S08000015,NHS Ayrshire and Arran
A112V,Morrisdale,KA30 8PX,S08000015,NHS Ayrshire and Arran
A113B,Mossblown Surgery,KA6 5BH,S08000015,NHS Ayrshire and Arran
A113C,Castlepark Clinic,KA12 9LQ,S08000015,NHS Ayrshire and Arran
A113H,Strathlea Resource Centre,KA1 1TR,S08000015,NHS Ayrshire and Arran
A113L,Gargieston Primary School,KA1 1UG,S08000015,NHS Ayrshire and Arran
A113Q,Bank Street Primary School,,NA,NA
A113R,Montrose House,KA27 8DA,S08000015,NHS Ayrshire and Arran
A113S,Wilson House Care Home,KA1 5PU,S08000015,NHS Ayrshire and Arran
A113V,Annick Lodge,KA30 8QN,S08000015,NHS Ayrshire and Arran
A114B,Bankfield Medical Practice,KA7 3PR,S08000015,NHS Ayrshire and Arran
A114C,Montgomery Street Clinic,KA12 8PW,S08000015,NHS Ayrshire and Arran
A114H,Community Based Mental Health Rehabiliation Unit,KA12 0DP,S08000015,NHS Ayrshire and Arran
A114L,Annanhill Primary School,KA1 2JR,S08000015,NHS Ayrshire and Arran
A114Q,Glebe Primary School,KA12 0DQ,S08000015,NHS Ayrshire and Arran
A114R,Cessnock Gardens,KA1 5DB,S08000015,NHS Ayrshire and Arran
A114S,Options for Independence,KA12 0DR,S08000015,NHS Ayrshire and Arran
A114V,Greenacre Nursing Home,KA30 8EG,S08000015,NHS Ayrshire and Arran
A115C,Kilbirnie Clinic,KA25 6HP,S08000015,NHS Ayrshire and Arran
A115L,New Farm Primary School,KA3 7DF,S08000015,NHS Ayrshire and Arran
A115Q,John Galt Primary School,KA12 0QD,S08000015,NHS Ayrshire and Arran
A115R,Ross Court Residential Unit,KA4 8DF,S08000015,NHS Ayrshire and Arran
A115S,Enable House,KA1 5HU,S08000015,NHS Ayrshire and Arran
A115V,Torrance Lodge Nursing Home,KA1 5LQ,S08000015,NHS Ayrshire and Arran
A116C,Old Irvine Road Clinic,KA1 2BD,S08000015,NHS Ayrshire and Arran
A116L,Silverwood Primary School,KA3 7SZ,S08000015,NHS Ayrshire and Arran
A116Q,Loudoun-Montgomery Primary School,KA12 8DF,S08000015,NHS Ayrshire and Arran
A116R,Abbeyfield House,KA12 8RR,S08000015,NHS Ayrshire and Arran
A116V,Abbotsford Nursing Home,KA22 8NN,S08000015,NHS Ayrshire and Arran
A117C,Keep Well Centre,KA3 2AP,S08000015,NHS Ayrshire and Arran
A117L,Hillhead Primary School,KA3 1QJ,S08000015,NHS Ayrshire and Arran
A117Q,Redburn Primary School,,NA,NA
A117R,Craig-En-Ros Retirement Home,KA28 0BH,S08000015,NHS Ayrshire and Arran
A117V,Craigie Nursing Home,KA1 4EF,S08000015,NHS Ayrshire and Arran
A118C,Treeswoodhead Clinic,KA1 4NX,S08000015,NHS Ayrshire and Arran
A118L,Kirkstyle Primary School,KA1 3NF,S08000015,NHS Ayrshire and Arran
A118Q,Castlepark Primary School,KA12 9LQ,S08000015,NHS Ayrshire and Arran
A118R,The Towers Retirement Residence,KA28 0HA,S08000015,NHS Ayrshire and Arran
A118V,Highfield House,KA3 1RS,S08000015,NHS Ayrshire and Arran
A119C,Glencairn Medical Centre,KA3 2QS,S08000015,NHS Ayrshire and Arran
A119L,Loanhead Primary School,KA1 3AP,S08000015,NHS Ayrshire and Arran
A119Q,Towerlands Primary School,KA11 1DY,S08000015,NHS Ayrshire and Arran
A119R,Rosebank,KA3 7BT,S08000015,NHS Ayrshire and Arran
A119V,Biscayne Nursing Home,KA30 8EY,S08000015,NHS Ayrshire and Arran
A120C,Pennyburn Clinic,KA13 6LF,S08000015,NHS Ayrshire and Arran
A120L,Fenwick Primary School,KA3 6DH,S08000015,NHS Ayrshire and Arran
A120Q,Woodlands Primary School,KA12 0PU,S08000015,NHS Ayrshire and Arran
A120R,Craigielea Residential Home,KA27 8PR,S08000015,NHS Ayrshire and Arran
A120V,Beach House Nursing Home,PA17 5DY,S08000015,NHS Ayrshire and Arran
A121C,Fergushill Road Clinic,KA13 7LR,S08000015,NHS Ayrshire and Arran
A121L,Rowallan Primary School,,NA,NA
A121Q,Dreghorn Primary School,KA11 4AP,S08000015,NHS Ayrshire and Arran
A121R,Strathwillan House Res for Elderly,KA27 8BQ,S08000015,NHS Ayrshire and Arran
A121V,Buckreddan Care Centre,KA13 7PF,S08000015,NHS Ayrshire and Arran
A122C,Largs Clinic,KA30 9JD,S08000015,NHS Ayrshire and Arran
A122L,Hurlford Primary School,KA1 5BT,S08000015,NHS Ayrshire and Arran
A122Q,Springside Primary School,KA11 3AZ,S08000015,NHS Ayrshire and Arran
A122R,Craig-En-Rua Retirement Home,KA28 0EE,S08000015,NHS Ayrshire and Arran
A122V,Hallhouse Nursing Home,KA3 6AH,S08000015,NHS Ayrshire and Arran
A123C,Newmilns Clinic,KA16 9HQ,S08000015,NHS Ayrshire and Arran
A123L,Crookedholm Primary School,KA3 6LD,S08000015,NHS Ayrshire and Arran
A123Q,Abbey Primary School,KA13 7HG,S08000015,NHS Ayrshire and Arran
A123R,Haus Saron Residential Home,KA30 8PG,S08000015,NHS Ayrshire and Arran
A123V,Glencraig Nursing Home,KA16 9BU,S08000015,NHS Ayrshire and Arran
A124C,Campbell Avenue Clinic,KA21 5AF,S08000015,NHS Ayrshire and Arran
A124L,Grougar Primary School,KA4 8PW,S08000015,NHS Ayrshire and Arran
A124Q,Blacklands Primary School,KA13 6JJ,S08000015,NHS Ayrshire and Arran
A124R,Albyn Lodge,PA17 5EQ,S08000015,NHS Ayrshire and Arran
A124V,Ardenlee Nursing Home,KA23 9LR,S08000015,NHS Ayrshire and Arran
A125C,Wheatley Road Clinic,KA21 6ES,S08000015,NHS Ayrshire and Arran
A125L,Galston Primary School,KA4 8DT,S08000015,NHS Ayrshire and Arran
A125Q,Corsehill Primary School,KA13 7GW,S08000015,NHS Ayrshire and Arran
A125R,Abbeyfield House,KA30 8QN,S08000015,NHS Ayrshire and Arran
A125V,Rossview Nursing Home,PA17 5AG,S08000015,NHS Ayrshire and Arran
A126C,Skelmorlie Clinic,PA17 5,NA,NA
A126L,Newmilns Primary School,KA16 9LP,S08000015,NHS Ayrshire and Arran
A126Q,Pennyburn Primary School,KA13 6SE,S08000015,NHS Ayrshire and Arran
A126R,Hutton Park Care Home,KA30 8PD,S08000015,NHS Ayrshire and Arran
A126V,Warren Park Care Centre,KA30 8EQ,S08000015,NHS Ayrshire and Arran
A127C,Springside Clinic,KA11 3BG,S08000015,NHS Ayrshire and Arran
A127L,Darvel Primary School,KA17 0BP,S08000015,NHS Ayrshire and Arran
A127Q,Whitehirst Park Primary School,KA13 6NQ,S08000015,NHS Ayrshire and Arran
A127R,Laurieston House,KA30 8PP,S08000015,NHS Ayrshire and Arran
A127V,Cooriedoon Nursing Home,KA27 8QH,S08000015,NHS Ayrshire and Arran
A128C,Stewarton Clinic,KA3 5BP,S08000015,NHS Ayrshire and Arran
A128L,Crossroads Primary School,KA1 5JQ,S08000015,NHS Ayrshire and Arran
A128Q,Elderbank Primary School,KA11 1LA,S08000015,NHS Ayrshire and Arran
A128R,Morrisdale Abbeyfield House,KA30 8PX,S08000015,NHS Ayrshire and Arran
A128V,Gracelands Nursing Home,KA3 1PX,S08000015,NHS Ayrshire and Arran
A129C,Stevenston Clinic,KA20 3AA,S08000015,NHS Ayrshire and Arran
A129L,Hareshaw Primary School,,NA,NA
A129Q,Annick Primary School,KA11 1BQ,S08000015,NHS Ayrshire and Arran
A129R,North Grove,KA30 8PH,S08000015,NHS Ayrshire and Arran
A129V,Clyde Lodge Nursing Home,KA30 8PP,S08000015,NHS Ayrshire and Arran
A130C,West Kilbride Clinic,KA23 9EN,S08000015,NHS Ayrshire and Arran
A130L,Crosshouse Primary School,KA2 0JJ,S08000015,NHS Ayrshire and Arran
A130Q,Fencedyke Primary School,KA11 1NB,S08000015,NHS Ayrshire and Arran
A130R,Merton House,KA30 8BY,S08000015,NHS Ayrshire and Arran
A130V,Lizdean Nursing Home,KA1 2DL,S08000015,NHS Ayrshire and Arran
A131C,Brodick Clinic,KA27 8AJ,S08000015,NHS Ayrshire and Arran
A131L,Kilmaurs Primary School,KA3 2RY,S08000015,NHS Ayrshire and Arran
A131R,Prospecthill,PA17 5BH,S08000015,NHS Ayrshire and Arran
